Line#,Date,"Temperature (S-THB 20809180:20786262-1), *C, WeatherStation","RH (S-THB 20809180:20786262-2), %, WeatherStation","Dew Point (S-THB 20809180:20786262-3), *C, WeatherStation","Wind Speed (S-WCF 20809180:20794549-1), m/s, WeatherStation","Gust Speed (S-WCF 20809180:20794549-2), m/s, WeatherStation","Wind Direction (S-WCF 20809180:20794549-3), *, WeatherStation","Solar Radiation (S-LIB 20809180:20794937-1), W/m^2, WeatherStation"
1,12/01/24 00:00:00,8.79,79.90,5.52,0.7,1.7,15,1
2,12/01/24 00:30:00,8.47,80.30,5.28,0.7,1.7,45,1
3,12/01/24 01:00:00,8.34,81.50,5.37,1.0,2.0,45,1
4,12/01/24 01:30:00,8.54,82.50,5.74,1.0,2.0,44,1
5,12/01/24 02:00:00,8.49,82.80,5.75,0.7,2.0,44,1
6,12/01/24 02:30:00,8.02,83.10,5.33,0.7,1.7,44,1
7,12/01/24 03:00:00,8.07,83.80,5.50,0.7,1.7,44,1
8,12/01/24 03:30:00,8.37,84.40,5.90,1.3,1.7,44,1
9,12/01/24 04:00:00,8.12,84.70,5.71,0.3,1.7,42,1
10,12/01/24 04:30:00,7.97,85.00,5.61,1.0,1.7,44,2
11,12/01/24 05:00:00,8.22,85.40,5.92,0.7,1.7,44,33
12,12/01/24 05:30:00,9.34,85.00,6.95,0.7,2.0,42,121
13,12/01/24 06:00:00,10.42,84.10,7.86,0.7,2.3,51,183
14,12/01/24 06:30:00,12.36,82.90,9.55,0.3,2.0,53,258
15,12/01/24 07:00:00,13.69,80.30,10.37,0.7,2.0,53,333
16,12/01/24 07:30:00,16.13,76.50,12.01,0.3,2.3,52,399
17,12/01/24 08:00:00,18.10,68.30,12.19,0.0,1.7,51,457
18,12/01/24 08:30:00,17.18,63.10,10.11,1.0,2.7,313,498
19,12/01/24 09:00:00,18.37,58.40,10.08,1.0,2.3,302,522
20,12/01/24 09:30:00,18.18,55.00,9.01,0.7,2.3,258,536
21,12/01/24 10:00:00,18.22,54.00,8.78,0.7,2.7,230,529
22,12/01/24 10:30:00,18.89,52.20,8.89,0.7,2.3,299,506
23,12/01/24 11:00:00,19.25,52.10,9.20,0.7,3.0,84,479
24,12/01/24 11:30:00,19.77,51.40,9.48,1.0,3.3,90,202
25,12/01/24 12:00:00,19.37,51.80,9.22,1.0,3.0,70,84
26,12/01/24 12:30:00,20.32,50.20,9.63,0.7,3.0,98,311
27,12/01/24 13:00:00,19.91,51.10,9.52,1.0,2.3,77,247
28,12/01/24 13:30:00,19.03,53.90,9.50,1.7,3.3,62,149
29,12/01/24 14:00:00,18.53,55.70,9.53,1.0,3.0,67,69
30,12/01/24 14:30:00,17.15,59.50,9.22,1.0,3.3,83,6
31,12/01/24 15:00:00,16.32,62.00,9.04,0.3,2.0,83,1
32,12/01/24 15:30:00,15.60,64.20,8.88,0.3,1.3,80,1
33,12/01/24 16:00:00,15.10,67.50,9.15,0.3,2.0,101,1
34,12/01/24 16:30:00,14.05,68.90,8.44,0.7,1.7,164,1
35,12/01/24 17:00:00,13.74,69.00,8.17,0.0,0.0,145,1
36,12/01/24 17:30:00,13.50,69.30,8.00,0.0,0.0,145,1
37,12/01/24 18:00:00,13.28,69.40,7.81,0.0,0.0,145,1
38,12/01/24 18:30:00,13.21,69.50,7.77,0.0,0.0,143,1
39,12/01/24 19:00:00,12.17,70.30,6.94,0.0,0.0,143,1
40,12/01/24 19:30:00,11.76,71.20,6.73,0.3,1.0,143,1
41,12/01/24 20:00:00,11.42,73.10,6.78,0.3,1.7,81,1
42,12/01/24 20:30:00,11.44,74.70,7.12,0.7,1.7,67,1
43,12/01/24 21:00:00,11.66,76.60,7.70,1.3,2.3,29,1
44,12/01/24 21:30:00,10.83,77.50,7.07,0.3,1.3,29,1
45,12/01/24 22:00:00,10.59,78.20,6.96,0.0,0.0,29,1
46,12/01/24 22:30:00,10.39,78.70,6.86,0.0,0.0,29,1
47,12/01/24 23:00:00,10.30,79.60,6.94,0.0,0.0,29,1
48,12/01/24 23:30:00,10.08,80.90,6.96,0.7,2.0,28,1
49,12/02/24 00:00:00,10.54,82.00,7.61,0.7,2.3,29,1
50,12/02/24 00:30:00,10.27,82.60,7.45,1.0,1.7,32,1
51,12/02/24 01:00:00,10.17,83.10,7.44,1.3,2.0,38,1
52,12/02/24 01:30:00,9.53,83.50,6.89,0.3,1.3,41,1
53,12/02/24 02:00:00,9.31,84.10,6.77,0.0,1.0,41,1
54,12/02/24 02:30:00,8.92,84.30,6.42,0.0,1.0,41,1
55,12/02/24 03:00:00,8.82,84.80,6.41,0.3,2.0,41,1
56,12/02/24 03:30:00,8.74,85.10,6.39,0.0,1.0,41,1
57,12/02/24 04:00:00,8.79,85.50,6.50,0.3,2.0,42,1
58,12/02/24 04:30:00,8.64,85.80,6.41,0.7,1.7,41,4
59,12/02/24 05:00:00,9.21,85.90,6.99,0.0,0.0,41,43
60,12/02/24 05:30:00,10.00,85.70,7.73,0.0,1.3,80,101
61,12/02/24 06:00:00,11.66,85.40,9.31,0.3,1.3,84,168
62,12/02/24 06:30:00,12.44,85.30,10.05,0.0,1.3,98,161
63,12/02/24 07:00:00,14.86,83.40,12.09,0.0,1.3,132,179
64,12/02/24 07:30:00,15.15,83.40,12.37,0.0,0.0,132,508
65,12/02/24 08:00:00,17.25,79.70,13.73,0.0,1.3,173,459
66,12/02/24 08:30:00,17.58,75.80,13.28,0.3,1.7,177,223
67,12/02/24 09:00:00,18.98,71.90,13.82,0.3,1.7,213,527
68,12/02/24 09:30:00,20.82,67.30,14.55,0.3,2.3,319,542
69,12/02/24 10:00:00,21.46,60.30,13.47,0.7,3.0,24,702
70,12/02/24 10:30:00,20.48,53.50,10.74,1.0,4.0,60,283
71,12/02/24 11:00:00,20.29,50.30,9.64,1.3,3.0,11,359
72,12/02/24 11:30:00,19.56,53.40,9.85,1.0,3.3,38,98
73,12/02/24 12:00:00,19.79,57.50,11.18,1.0,3.0,76,107
74,12/02/24 12:30:00,19.53,58.90,11.30,0.7,2.3,114,123
75,12/02/24 13:00:00,18.98,60.30,11.14,0.7,3.0,93,67
76,12/02/24 13:30:00,18.37,65.60,11.83,1.7,3.3,118,48
77,12/02/24 14:00:00,18.39,66.40,12.03,0.3,2.0,110,78
78,12/02/24 14:30:00,17.99,66.70,11.72,0.7,2.0,107,4
79,12/02/24 15:00:00,17.42,67.70,11.40,0.0,1.3,102,1
80,12/02/24 15:30:00,16.94,68.40,11.10,0.3,1.7,124,1
81,12/02/24 16:00:00,16.39,69.50,10.82,0.0,1.0,93,1
82,12/02/24 16:30:00,15.72,70.60,10.41,0.0,0.0,73,1
83,12/02/24 17:00:00,15.41,71.90,10.39,0.3,2.0,72,1
84,12/02/24 17:30:00,15.06,74.10,10.49,1.0,2.0,39,1
85,12/02/24 18:00:00,14.53,74.90,10.15,0.3,1.3,24,1
86,12/02/24 18:30:00,14.03,75.90,9.86,0.0,0.0,24,1
87,12/02/24 19:00:00,13.59,77.10,9.67,0.3,2.0,25,1
88,12/02/24 19:30:00,12.80,78.20,9.11,0.0,0.0,79,1
89,12/02/24 20:00:00,12.49,79.10,8.98,0.0,0.0,84,1
90,12/02/24 20:30:00,12.29,79.90,8.94,0.3,1.7,76,1
91,12/02/24 21:00:00,11.56,80.90,8.41,0.0,1.0,73,1
92,12/02/24 21:30:00,11.42,81.60,8.40,0.0,0.0,73,1
93,12/02/24 22:00:00,11.20,82.30,8.31,0.0,1.0,73,1
94,12/02/24 22:30:00,11.10,83.00,8.34,0.0,1.0,73,1
95,12/02/24 23:00:00,11.05,83.80,8.43,0.7,2.0,62,1
96,12/02/24 23:30:00,11.20,84.20,8.64,0.0,2.0,35,1
97,12/03/24 00:00:00,10.15,84.70,7.70,0.0,1.0,37,1
98,12/03/24 00:30:00,9.95,85.10,7.58,0.3,1.7,38,1
99,12/03/24 01:00:00,9.73,85.80,7.48,0.3,1.7,38,1
100,12/03/24 01:30:00,9.46,86.20,7.28,0.0,0.0,38,1
101,12/03/24 02:00:00,9.88,86.30,7.71,0.0,0.0,38,1
102,12/03/24 02:30:00,9.83,86.70,7.73,0.0,0.0,38,1
103,12/03/24 03:00:00,9.39,87.00,7.34,0.0,0.0,38,1
104,12/03/24 03:30:00,9.24,87.50,7.28,0.0,0.0,38,1
105,12/03/24 04:00:00,8.79,87.60,6.86,0.0,0.0,38,1
106,12/03/24 04:30:00,9.78,88.00,7.90,0.0,2.3,195,1
107,12/03/24 05:00:00,10.47,88.20,8.61,0.0,0.0,201,41
108,12/03/24 05:30:00,11.13,88.20,9.26,0.0,1.3,201,67
109,12/03/24 06:00:00,12.15,88.20,10.27,0.7,2.3,222,168
110,12/03/24 06:30:00,12.51,88.30,10.64,1.3,3.0,277,78
111,12/03/24 07:00:00,13.45,88.00,11.52,1.3,3.0,286,162
112,12/03/24 07:30:00,14.60,87.60,12.58,1.3,3.7,279,176
113,12/03/24 08:00:00,15.82,87.00,13.68,2.0,3.7,271,186
114,12/03/24 08:30:00,15.99,85.70,13.61,2.0,5.0,264,222
115,12/03/24 09:00:00,16.77,83.40,13.96,3.3,7.3,268,232
116,12/03/24 09:30:00,17.39,81.10,14.14,3.3,6.0,260,251
117,12/03/24 10:00:00,17.91,77.10,13.86,3.7,8.0,251,148
