Date;CO2;Temperature
1/10/2021 1:00;505;25.89
1/10/2021 3:00;476;26.35
1/10/2021 5:00;483;25.94
1/10/2021 7:00;480;26.35
1/10/2021 9:00;474;26.65
1/10/2021 11:00;480;25.26
1/10/2021 13:00;470;24.87
1/10/2021 15:00;457;24.65
1/10/2021 17:00;475;24.44
1/10/2021 19:00;449;24.46
1/10/2021 21:00;448;24.85
1/10/2021 23:00;463;25.53
2/10/2021 1:00;470;26.23
2/10/2021 3:00;454;26.55
2/10/2021 5:00;436;26.65
2/10/2021 7:00;452;26.6
2/10/2021 9:00;453;26.79
2/10/2021 11:00;458;26.33
2/10/2021 13:00;457;26.96
2/10/2021 15:00;466;27.41
2/10/2021 17:00;468;27.7
2/10/2021 19:00;435;27.8
2/10/2021 21:00;426;27.68
2/10/2021 23:00;426;27.58
3/10/2021 1:00;431;27.38
3/10/2021 3:00;427;27.23
3/10/2021 5:00;430;27.11
3/10/2021 7:00;423;27.04
3/10/2021 9:00;435;27.01
3/10/2021 11:00;422;27.26
3/10/2021 13:00;433;27.58
3/10/2021 15:00;436;27.87
3/10/2021 17:00;436;28.07
3/10/2021 19:00;415;28
3/10/2021 21:00;422;27.85
3/10/2021 23:00;424;27.7
4/10/2021 1:00;409;27.58
4/10/2021 3:00;423;27.46
4/10/2021 5:00;414;27.33
4/10/2021 7:00;418;27.19
4/10/2021 9:00;504;26.23
4/10/2021 11:00;685;24.36
4/10/2021 13:00;669;23.86
4/10/2021 15:00;523;23.81
4/10/2021 17:00;463;23.62
4/10/2021 19:00;478;24.34
4/10/2021 21:00;470;25.55
4/10/2021 23:00;458;25.96
5/10/2021 1:00;437;26.13
5/10/2021 3:00;440;26.18
5/10/2021 5:00;442;26.26
5/10/2021 7:00;420;26.16
5/10/2021 9:00;514;26.23
5/10/2021 11:00;616;26.96
5/10/2021 13:00;673;25.02
5/10/2021 15:00;606;24.39
5/10/2021 17:00;540;23.74
5/10/2021 19:00;565;25.45
5/10/2021 21:00;462;25.82
5/10/2021 23:00;425;26.06
6/10/2021 1:00;432;26.18
6/10/2021 3:00;420;25.99
6/10/2021 5:00;410;25.79
6/10/2021 7:00;404;25.89
6/10/2021 9:00;467;26.28
6/10/2021 11:00;654;27.01
6/10/2021 13:00;532;24.58
6/10/2021 15:00;549;23.93
6/10/2021 17:00;640;24.07
6/10/2021 19:00;630;25.23
6/10/2021 21:00;543;25.94
6/10/2021 23:00;467;25.99
7/10/2021 1:00;450;26.04
7/10/2021 3:00;434;25.96
7/10/2021 5:00;406;25.96
7/10/2021 7:00;406;25.79
7/10/2021 9:00;458;26.08
7/10/2021 11:00;687;26.67
7/10/2021 13:00;526;25.53
7/10/2021 15:00;469;24
7/10/2021 17:00;429;23.79
7/10/2021 19:00;626;24.97
7/10/2021 21:00;543;25.48
7/10/2021 23:00;463;25.55
8/10/2021 1:00;454;25.53
8/10/2021 3:00;444;25.55
8/10/2021 5:00;411;25.53
8/10/2021 7:00;415;25.55
8/10/2021 9:00;450;25.77
8/10/2021 11:00;600;26.6
8/10/2021 13:00;902;23.98
8/10/2021 15:00;614;23.86
8/10/2021 17:00;749;24.22
8/10/2021 19:00;603;25.21
8/10/2021 21:00;500;25.55
8/10/2021 23:00;462;25.62
9/10/2021 1:00;421;25.57
9/10/2021 3:00;419;25.57
9/10/2021 5:00;424;25.55
9/10/2021 7:00;413;25.55
9/10/2021 9:00;452;25.57
9/10/2021 11:00;438;26.06
9/10/2021 13:00;446;26.48
9/10/2021 15:00;423;26.94
9/10/2021 17:00;423;27.23
9/10/2021 19:00;413;27.23
9/10/2021 21:00;414;27.01
9/10/2021 23:00;415;26.79
10/10/2021 1:00;441;26.72
10/10/2021 3:00;425;26.6
10/10/2021 5:00;410;26.5
10/10/2021 7:00;400;26.38
10/10/2021 9:00;414;26.43
10/10/2021 11:00;424;26.7
10/10/2021 13:00;412;27.04
10/10/2021 15:00;419;27.43
10/10/2021 17:00;410;27.7
10/10/2021 19:00;414;27.65
10/10/2021 21:00;427;27.53
10/10/2021 23:00;426;27.38
11/10/2021 1:00;403;27.26
11/10/2021 3:00;423;27.06
11/10/2021 5:00;414;26.92
11/10/2021 7:00;420;26.67
11/10/2021 9:00;495;26.7
11/10/2021 11:00;579;24.75
11/10/2021 13:00;696;24.19
11/10/2021 15:00;720;24.15
11/10/2021 17:00;655;24.03
11/10/2021 19:00;643;25.99
11/10/2021 21:00;473;26.21
11/10/2021 23:00;448;26.26
12/10/2021 1:00;461;26.35
12/10/2021 3:00;454;26.33
12/10/2021 5:00;467;26.3
12/10/2021 7:00;462;26.18
12/10/2021 9:00;634;26.65
12/10/2021 11:00;608;26.33
12/10/2021 13:00;492;24.32
12/10/2021 15:00;592;23.88
12/10/2021 17:00;655;23.76
12/10/2021 19:00;529;24.44
12/10/2021 21:00;470;25.28
12/10/2021 23:00;446;25.55
13/10/2021 1:00;440;25.55
13/10/2021 3:00;454;25.55
13/10/2021 5:00;450;25.74
13/10/2021 7:00;446;25.96
13/10/2021 9:00;484;26.21
13/10/2021 11:00;769;26.57
13/10/2021 13:00;543;26.33
13/10/2021 15:00;466;24.22
13/10/2021 17:00;568;24.65
13/10/2021 19:00;579;25.91
13/10/2021 21:00;504;26.08
13/10/2021 23:00;455;26.01
14/10/2021 1:00;420;25.91
14/10/2021 3:00;429;25.87
14/10/2021 5:00;431;25.67
14/10/2021 7:00;415;25.55
14/10/2021 9:00;582;25.82
14/10/2021 11:00;646;24.87
14/10/2021 13:00;715;24.29
14/10/2021 15:00;720;24.12
14/10/2021 17:00;733;24.1
14/10/2021 19:00;699;25.26
14/10/2021 21:00;621;25.6
14/10/2021 23:00;511;25.57
15/10/2021 1:00;474;25.55
15/10/2021 3:00;444;25.53
15/10/2021 5:00;432;25.43
15/10/2021 7:00;431;25.26
15/10/2021 9:00;446;25.48
15/10/2021 11:00;523;25.77
15/10/2021 13:00;507;26.06
15/10/2021 15:00;473;26.16
15/10/2021 17:00;446;26.04
15/10/2021 19:00;432;25.89
15/10/2021 21:00;428;25.84
15/10/2021 23:00;437;25.82
16/10/2021 1:00;436;25.7
16/10/2021 3:00;394;25.55
16/10/2021 5:00;416;25.5
16/10/2021 7:00;411;25.33
16/10/2021 9:00;419;25.33
16/10/2021 11:00;416;25.55
16/10/2021 13:00;414;26.06
16/10/2021 15:00;396;26.5
16/10/2021 17:00;415;26.74
16/10/2021 19:00;414;26.6
16/10/2021 21:00;420;26.52
16/10/2021 23:00;415;26.38
17/10/2021 1:00;424;26.26
17/10/2021 3:00;411;26.16
17/10/2021 5:00;406;26.04
17/10/2021 7:00;420;25.84
17/10/2021 9:00;394;25.79
17/10/2021 11:00;413;25.84
17/10/2021 13:00;396;25.96
17/10/2021 15:00;419;26.08
17/10/2021 17:00;401;26.11
17/10/2021 19:00;416;26.01
17/10/2021 21:00;418;25.96
17/10/2021 23:00;389;25.91
18/10/2021 1:00;414;25.62
18/10/2021 3:00;400;25.53
18/10/2021 5:00;396;25.53
18/10/2021 7:00;373;25.53
18/10/2021 9:00;391;25.57
18/10/2021 11:00;478;26.08
18/10/2021 13:00;480;26.23
18/10/2021 15:00;462;26.3
18/10/2021 17:00;418;26.3
18/10/2021 19:00;432;26.08
18/10/2021 21:00;432;25.96
18/10/2021 23:00;424;25.82
19/10/2021 1:00;428;25.55
19/10/2021 3:00;427;25.53
19/10/2021 5:00;406;25.36
19/10/2021 7:00;418;25.23
19/10/2021 9:00;505;25.48
19/10/2021 11:00;511;25.55
19/10/2021 13:00;508;26.28
19/10/2021 15:00;471;23.95
19/10/2021 17:00;476;23.45
19/10/2021 19:00;497;24
19/10/2021 21:00;483;24.82
19/10/2021 23:00;450;25.02
20/10/2021 1:00;434;25.02
20/10/2021 3:00;424;24.97
20/10/2021 5:00;416;24.9
20/10/2021 7:00;413;24.87
20/10/2021 9:00;473;25.16
20/10/2021 11:00;602;26.01
20/10/2021 13:00;634;26.4
20/10/2021 15:00;599;26.6
20/10/2021 17:00;708;24.65
20/10/2021 19:00;736;25.4
20/10/2021 21:00;566;25.48
20/10/2021 23:00;475;25.36
21/10/2021 1:00;459;25.23
21/10/2021 3:00;440;25.02
21/10/2021 5:00;414;24.82
21/10/2021 7:00;410;24.65
21/10/2021 9:00;492;24.63
21/10/2021 11:00;770;25.72
21/10/2021 13:00;688;26.43
21/10/2021 15:00;638;26.77
21/10/2021 17:00;613;23.88
21/10/2021 19:00;741;25.45
21/10/2021 21:00;563;25.43
21/10/2021 23:00;494;25.36
22/10/2021 1:00;479;25.23
22/10/2021 3:00;444;24.99
22/10/2021 5:00;429;24.92
22/10/2021 7:00;418;24.68
22/10/2021 9:00;466;24.82
22/10/2021 11:00;657;25.31
22/10/2021 13:00;687;26.08
22/10/2021 15:00;483;23.62
22/10/2021 17:00;500;23.93
22/10/2021 19:00;555;25.11
22/10/2021 21:00;450;25.45
22/10/2021 23:00;446;25.48
23/10/2021 1:00;421;25.28
23/10/2021 3:00;418;25.23
23/10/2021 5:00;432;25.21
23/10/2021 7:00;432;25.19
23/10/2021 9:00;453;25.19
23/10/2021 11:00;428;25.45
23/10/2021 13:00;423;25.94
23/10/2021 15:00;425;26.38
23/10/2021 17:00;420;26.57
23/10/2021 19:00;418;26.45
23/10/2021 21:00;431;26.4
23/10/2021 23:00;440;26.28
24/10/2021 1:00;436;25.99
24/10/2021 3:00;424;25.87
24/10/2021 5:00;420;25.55
24/10/2021 7:00;405;25.57
24/10/2021 9:00;410;25.4
24/10/2021 11:00;406;25.53
24/10/2021 13:00;406;26.13
24/10/2021 15:00;385;26.48
24/10/2021 17:00;393;26.84
24/10/2021 19:00;413;26.55
24/10/2021 21:00;427;26.48
24/10/2021 23:00;420;26.33
25/10/2021 1:00;423;26.16
25/10/2021 3:00;441;25.94
25/10/2021 5:00;423;25.5
25/10/2021 7:00;410;25.5
25/10/2021 9:00;429;25.4
25/10/2021 11:00;566;25.94
25/10/2021 13:00;643;26.5
25/10/2021 15:00;599;25.04
25/10/2021 17:00;576;23.5
25/10/2021 19:00;634;25.09
25/10/2021 21:00;537;25.21
25/10/2021 23:00;470;25.19
26/10/2021 1:00;444;24.92
26/10/2021 3:00;416;24.77
26/10/2021 5:00;428;24.6
26/10/2021 7:00;416;24.58
26/10/2021 9:00;645;25.16
26/10/2021 11:00;718;25.99
26/10/2021 13:00;646;24.73
26/10/2021 15:00;822;25.19
26/10/2021 17:00;507;24.22
26/10/2021 19:00;646;24.77
26/10/2021 21:00;508;24.9
26/10/2021 23:00;458;24.87
27/10/2021 1:00;427;24.68
27/10/2021 3:00;421;24.56
27/10/2021 5:00;434;24.36
27/10/2021 7:00;411;24.29
27/10/2021 9:00;515;24.46
27/10/2021 11:00;724;25.43
27/10/2021 13:00;702;24.94
27/10/2021 15:00;664;23.62
27/10/2021 17:00;799;25.48
27/10/2021 19:00;649;25.53
27/10/2021 21:00;540;25.38
27/10/2021 23:00;545;25.26
28/10/2021 1:00;459;25.02
28/10/2021 3:00;454;24.77
28/10/2021 5:00;442;24.65
28/10/2021 7:00;432;24.53
28/10/2021 9:00;450;24.53
28/10/2021 11:00;440;24.75
28/10/2021 13:00;436;25.14
28/10/2021 15:00;431;25.48
28/10/2021 17:00;420;25.5
28/10/2021 19:00;431;25.38
28/10/2021 21:00;429;25.23
28/10/2021 23:00;444;25.09
29/10/2021 1:00;423;24.92
29/10/2021 3:00;440;24.7
29/10/2021 5:00;425;24.46
29/10/2021 7:00;442;24.29
29/10/2021 9:00;466;24.46
29/10/2021 11:00;684;25.06
29/10/2021 13:00;585;25.4
29/10/2021 15:00;561;25.53
29/10/2021 17:00;547;25.6
29/10/2021 19:00;572;25.55
29/10/2021 21:00;484;25.31
29/10/2021 23:00;463;24.92
30/10/2021 1:00;441;24.65
30/10/2021 3:00;406;24.32
30/10/2021 5:00;414;24.03
30/10/2021 7:00;394;23.81
30/10/2021 9:00;440;23.81
30/10/2021 11:00;399;24.07
30/10/2021 13:00;400;24.48
30/10/2021 15:00;394;24.92
30/10/2021 17:00;400;25.06
30/10/2021 19:00;391;25.04
30/10/2021 21:00;400;24.97
30/10/2021 23:00;406;24.82
31/10/2021 1:00;404;24.68
31/10/2021 3:00;420;24.51
31/10/2021 5:00;415;24.36
31/10/2021 7:00;428;24.15
31/10/2021 9:00;418;24.12
31/10/2021 11:00;419;24.32
31/10/2021 13:00;413;24.73
31/10/2021 15:00;409;25.04
31/10/2021 17:00;424;25.19
31/10/2021 19:00;396;25.06
31/10/2021 21:00;421;24.99
31/10/2021 23:00;398;24.92
;;
