Date;Lights [kWh];Total [kWh]
16/6/2021 0:00;31,52388417;71,62900806
17/6/2021 0:00;37,53267833;85,25382722
18/6/2021 0:00;38,70609361;82,2074625
19/6/2021 0:00;18,7917575;40,56198139
20/6/2021 0:00;17,85557445;42,84582444
21/6/2021 0:00;18,10098917;44,70566417
22/6/2021 0:00;39,78965222;89,52768
23/6/2021 0:00;39,41299222;86,33989806
24/6/2021 0:00;40,91732333;91,8222975
25/6/2021 0:00;40,33911389;86,45052556
26/6/2021 0:00;21,66067194;44,318955
27/6/2021 0:00;20,00423472;43,39920972
28/6/2021 0:00;39,39948083;107,9437328
29/6/2021 0:00;37,99665333;92,49807556
30/6/2021 0:00;41,60641306;84,8000425
1/7/2021 0:00;40,87854444;86,9688275
2/7/2021 0:00;40,98966972;91,24079861
3/7/2021 0:00;18,11414195;45,46773972
4/7/2021 0:00;17,68373417;44,04691389
5/7/2021 0:00;37,81890139;90,87558611
6/7/2021 0:00;40,87138028;92,45634361
7/7/2021 0:00;39,21283361;96,33103139
8/7/2021 0:00;34,87228583;83,83169111
9/7/2021 0:00;40,72317167;95,47200194
10/7/2021 0:00;18,35252222;45,63786639
11/7/2021 0:00;16,7004175;42,45893083
12/7/2021 0:00;38,74502917;90,13953444
13/7/2021 0:00;36,24164833;96,27517695
14/7/2021 0:00;37,71618583;95,75792778
15/7/2021 0:00;37,96244472;92,29875833
16/7/2021 0:00;36,88652861;92,20471889
17/7/2021 0:00;15,78471;43,7711025
18/7/2021 0:00;15,24664722;42,14761222
19/7/2021 0:00;34,32009139;87,16977806
20/7/2021 0:00;34,04434667;83,59227278
21/7/2021 0:00;32,96373;83,61082639
22/7/2021 0:00;32,08671694;83,77175778
23/7/2021 0:00;32,17672139;82,2095
24/7/2021 0:00;16,92739861;44,17933528
25/7/2021 0:00;16,45086889;43,32977389
26/7/2021 0:00;34,0652325;87,2081975
27/7/2021 0:00;31,64726472;89,50046222
28/7/2021 0:00;34,40843167;88,49576639
29/7/2021 0:00;34,41548361;87,99318305
30/7/2021 0:00;31,45995417;83,83214
31/7/2021 0:00;15,1505675;42,49252111
1/8/2021 0:00;15,0962075;42,62018083
2/8/2021 0:00;29,73680722;91,53795389
3/8/2021 0:00;31,46379889;87,83085028
4/8/2021 0:00;29,41855611;87,27416111
5/8/2021 0:00;27,72959389;73,80347444
6/8/2021 0:00;30,45023917;84,75505528
7/8/2021 0:00;15,13016583;42,43143972
8/8/2021 0:00;15,09694528;42,5941975
9/8/2021 0:00;29,57507139;78,88005611
10/8/2021 0:00;32,80685222;85,45429
11/8/2021 0:00;32,03112417;92,47641111
12/8/2021 0:00;31,07086944;85,13212861
13/8/2021 0:00;29,08388139;86,16581528
14/8/2021 0:00;15,28555056;42,87277167
15/8/2021 0:00;15,26710306;43,04074722
16/8/2021 0:00;15,23052306;42,96006611
17/8/2021 0:00;26,48278778;81,39454472
18/8/2021 0:00;26,74664472;75,61740361
19/8/2021 0:00;23,67342194;74,94107694
20/8/2021 0:00;23,45075917;71,5921675
21/8/2021 0:00;15,51007333;43,29682055
22/8/2021 0:00;15,47910028;43,46893806
23/8/2021 0:00;31,04834722;85,06472667
24/8/2021 0:00;33,10713167;85,20791306
25/8/2021 0:00;31,218585;83,37963472
26/8/2021 0:00;35,56420333;87,35264417
27/8/2021 0:00;38,79408361;93,52420472
28/8/2021 0:00;22,79984083;64,82580695
29/8/2021 0:00;16,62881333;41,95154361
30/8/2021 0:00;38,29949667;102,4310822
31/8/2021 0:00;38,44681583;91,98064111
1/9/2021 0:00;33,34964167;82,21884139
2/9/2021 0:00;38,25530583;88,81094833
3/9/2021 0:00;33,84755444;82,54639667
4/9/2021 0:00;15,00955472;42,18768806
5/9/2021 0:00;14,60449917;43,18146389
6/9/2021 0:00;37,50012445;89,0397525
7/9/2021 0:00;39,14313389;91,30780194
8/9/2021 0:00;35,99883944;87,59876944
9/9/2021 0:00;38,75247306;88,32608056
10/9/2021 0:00;37,62142639;85,79008555
11/9/2021 0:00;15,70859861;41,94993833
12/9/2021 0:00;15,57992528;41,35812278
13/9/2021 0:00;31,83196278;78,31370111
14/9/2021 0:00;34,99982667;82,84259139
15/9/2021 0:00;34,90386917;81,05443333
16/9/2021 0:00;37,01403833;82,57712444
17/9/2021 0:00;36,76288305;81,80295833
18/9/2021 0:00;22,25720361;48,70501167
19/9/2021 0:00;22,25719195;48,41703417
20/9/2021 0:00;34,997525;82,96273389
21/9/2021 0:00;36,2238875;83,56146111
22/9/2021 0:00;34,04874778;81,66838389
23/9/2021 0:00;36,62968444;84,21664361
24/9/2021 0:00;36,99921111;81,33985917
25/9/2021 0:00;26,03690556;55,33008389
26/9/2021 0:00;22,32539222;47,32852083
27/9/2021 0:00;35,43406;80,90587583
28/9/2021 0:00;35,38037194;82,53221945
29/9/2021 0:00;39,51944972;86,32581444
30/9/2021 0:00;37,69658;78,23959583
1/10/2021 0:00;19,24004583;47,43597917
2/10/2021 0:00;23,08772583;54,7783375
3/10/2021 0:00;20,95934389;51,48560056
4/10/2021 0:00;37,73097417;85,10706805
5/10/2021 0:00;35,65354111;83,88585417
6/10/2021 0:00;38,86663333;79,94918139
7/10/2021 0:00;39,34575972;83,64064194
8/10/2021 0:00;36,88471639;79,25045639
9/10/2021 0:00;18,74162333;43,46348889
10/10/2021 0:00;17,67841722;42,70443583
11/10/2021 0:00;38,27686361;85,14704861
12/10/2021 0:00;40,18287333;83,59681861
13/10/2021 0:00;41,09421056;80,67892583
14/10/2021 0:00;39,47448333;83,00095278
15/10/2021 0:00;32,79167139;70,81403889
16/10/2021 0:00;21,99022028;50,77012278
17/10/2021 0:00;21,41305889;50,145755
18/10/2021 0:00;34,51078972;77,83635806
19/10/2021 0:00;38,38694833;81,17665667
20/10/2021 0:00;39,51562667;81,54542583
21/10/2021 0:00;40,23145361;78,11848528
22/10/2021 0:00;36,45339472;79,29463361
23/10/2021 0:00;22,93014945;46,37874417
24/10/2021 0:00;22,43316889;45,87067695
25/10/2021 0:00;35,61741222;75,32118472
26/10/2021 0:00;38,09234417;81,76122528
27/10/2021 0:00;36,96758778;80,11059306
28/10/2021 0:00;17,23322972;42,28492722
29/10/2021 0:00;32,2110775;65,93877861
30/10/2021 0:00;18,81823167;47,81476972
31/10/2021 0:00;18,45913695;48,35991778
31/10/2021 23:00;34,18014278;71,65469361
1/11/2021 23:00;35,51428639;77,49986639
2/11/2021 23:00;38,77313611;77,01588333
3/11/2021 23:00;39,28856222;71,05825917
4/11/2021 23:00;39,23799805;79,37146889
5/11/2021 23:00;16,93712417;41,61762722
6/11/2021 23:00;16,55166167;40,73258222
7/11/2021 23:00;34,42366667;74,96068083
8/11/2021 23:00;38,69837222;82,67196389
9/11/2021 23:00;34,32249167;76,52479194
10/11/2021 23:00;35,59243445;76,45845167
11/11/2021 23:00;36,71908778;78,33486195
12/11/2021 23:00;23,82008139;51,12536222
13/11/2021 23:00;16,47794333;41,22575306
14/11/2021 23:00;31,018405;70,15294722
15/11/2021 23:00;34,73184055;77,25671889
16/11/2021 23:00;36,59243639;74,96462694
17/11/2021 23:00;38,42366917;75,85471472
18/11/2021 23:00;41,66590583;80,86035695
19/11/2021 23:00;21,99739778;49,47120639
20/11/2021 23:00;18,88567444;43,84572778
21/11/2021 23:00;38,33362139;77,48748611
22/11/2021 23:00;35,17623667;73,30774222
23/11/2021 23:00;35,87951333;74,68560139
24/11/2021 23:00;34,33842583;68,62892917
25/11/2021 23:00;37,25285889;75,89710639
26/11/2021 23:00;23,85936333;51,62725528
27/11/2021 23:00;19,69804389;44,53921694
28/11/2021 23:00;37,54719389;75,18901
29/11/2021 23:00;37,93487528;76,39437528
30/11/2021 23:00;31,47591;68,91366778
1/12/2021 23:00;30,94529528;69,77484111
2/12/2021 23:00;34,15074417;84,95901778
3/12/2021 23:00;18,90805417;42,72136667
4/12/2021 23:00;18,71501417;42,324685
5/12/2021 23:00;33,67927139;68,93197389
6/12/2021 23:00;35,6332725;74,60547833
7/12/2021 23:00;38,49569417;77,02926389
8/12/2021 23:00;30,80855139;62,90922528
9/12/2021 23:00;35,941885;72,72289833
10/12/2021 23:00;21,49962778;48,03870972
11/12/2021 23:00;17,97347944;42,51853972
12/12/2021 23:00;35,26299556;71,96044306
13/12/2021 23:00;38,35367306;71,27973555
14/12/2021 23:00;36,8976275;71,69830556
15/12/2021 23:00;33,43374055;66,06152278
16/12/2021 23:00;31,924315;61,32604472
17/12/2021 23:00;20,22036722;40,35198556
18/12/2021 23:00;18,2602675;37,73132972
19/12/2021 23:00;34,60135305;68,77950139
20/12/2021 23:00;40,17384111;75,70534194
21/12/2021 23:00;43,71279972;80,73304306
22/12/2021 23:00;38,59980611;72,10344805
23/12/2021 23:00;22,46742361;42,98724778
24/12/2021 23:00;23,33885028;44,63825194
25/12/2021 23:00;22,92864639;43,69634111
26/12/2021 23:00;28,08449445;56,44655222
27/12/2021 23:00;33,42775555;64,44403555
28/12/2021 23:00;31,08225556;59,42701611
29/12/2021 23:00;27,11321861;51,17366972
30/12/2021 23:00;24,26954944;45,27570194
31/12/2021 23:00;24,35817389;45,31917417
1/1/2022 23:00;24,30285;45,50459028
2/1/2022 23:00;31,32543056;59,3144725
3/1/2022 23:00;31,06012111;60,80413472
4/1/2022 23:00;32,71882417;64,40036333
5/1/2022 23:00;26,75767611;47,55768444
6/1/2022 23:00;40,79817778;77,24615472
7/1/2022 23:00;23,44224694;45,68771694
8/1/2022 23:00;20,86030278;39,96927806
9/1/2022 23:00;39,54063361;74,38134944
10/1/2022 23:00;43,05011139;77,30019667
11/1/2022 23:00;41,05948361;75,64365306
12/1/2022 23:00;39,68307;73,04075333
13/1/2022 23:00;37,64351;70,61043111
14/1/2022 23:00;25,9198525;45,56423972
15/1/2022 23:00;24,67814194;42,91298139
16/1/2022 23:00;38,34957361;73,00119389
17/1/2022 23:00;39,71005055;77,02628194
18/1/2022 23:00;41,40864389;76,25451722
19/1/2022 23:00;41,88655278;72,94969222
20/1/2022 23:00;40,90857833;75,42437694
21/1/2022 23:00;27,12748722;48,7252575
22/1/2022 23:00;26,55520222;46,15166806
23/1/2022 23:00;43,08483528;80,7767975
24/1/2022 23:00;37,20537861;78,8583
25/1/2022 23:00;35,22723389;72,02730083
26/1/2022 23:00;34,00288306;65,42637806
27/1/2022 23:00;39,33442278;77,17814222
28/1/2022 23:00;29,45983389;54,24351972
29/1/2022 23:00;25,11199694;48,41769889
30/1/2022 23:00;38,85426528;78,4657225
31/1/2022 23:00;34,2285525;64,86426472
1/2/2022 23:00;35,37358972;65,99947639
2/2/2022 23:00;33,77903972;66,29119806
3/2/2022 23:00;33,91006556;62,71721667
